Year,State,Industry Sector Category,Residential,Commercial,Industrial,Transportation,Other,Total
2014.0,SC,Total Electric Industry,12.45,10.28,6.29,0.0,NA,9.67
2014.0,SD,Total Electric Industry,10.47,8.89,6.99,0.0,NA,9.05
2014.0,TN,Total Electric Industry,10.32,10.38,6.4,8.57,NA,9.4
2014.0,TX,Total Electric Industry,11.86,8.16,6.16,5.17,NA,8.94
2014.0,UT,Total Electric Industry,10.65,8.53,6.08,10.34,NA,8.35
2014.0,VA,Total Electric Industry,11.1,8.15,6.89,8.24,NA,9.17
2014.0,VT,Total Electric Industry,17.47,14.56,10.23,0.0,NA,14.57
2014.0,WA,Total Electric Industry,8.67,7.97,4.32,8.48,NA,7.13
2014.0,WI,Total Electric Industry,13.67,10.77,7.52,0.0,NA,10.57
2014.0,WV,Total Electric Industry,9.34,7.99,5.87,0.0,NA,7.65
2014.0,WY,Total Electric Industry,10.5,8.88,6.61,0.0,NA,7.76
2014.0,US,Total Electric Industry,12.52,10.74,7.1,10.45,NA,10.44
2014.0,AK,Full-Service Providers,19.14,17.09,15.66,0.0,NA,17.46
2014.0,AL,Full-Service Providers,11.48,10.79,6.15,0.0,NA,9.27
2014.0,AR,Full-Service Providers,9.51,8.05,6.02,11.35,NA,7.9
2014.0,AZ,Full-Service Providers,11.9,10.13,6.46,0.0,NA,10.18
2014.0,CA,Full-Service Providers,16.24,16.04,12.81,10.75,NA,15.52
2014.0,CO,Full-Service Providers,12.18,10.08,7.47,10.79,NA,10.06
2014.0,CT,Full-Service Providers,18.57,15.4,11.88,14.22,NA,17.06
2014.0,DC,Full-Service Providers,12.49,12.24,0.0,0.0,NA,12.38
2014.0,DE,Full-Service Providers,13.15,11.57,9.97,0.0,NA,12.36
2014.0,FL,Full-Service Providers,11.89,9.87,7.9,9.25,NA,10.77
2014.0,GA,Full-Service Providers,11.65,10.36,6.64,6.98,NA,10.03
2014.0,HI,Full-Service Providers,37.04,34.21,30.22,0.0,NA,33.43
2014.0,IA,Full-Service Providers,11.16,8.67,5.71,0.0,NA,8.15
2014.0,ID,Full-Service Providers,9.72,7.78,6.4,0.0,NA,7.93
2014.0,IL,Full-Service Providers,11.86,10.03,6.98,0.0,NA,10.41
2014.0,IN,Full-Service Providers,11.46,9.96,6.97,10.2,NA,9.06
2014.0,KS,Full-Service Providers,12.17,10.13,7.8,0.0,NA,10.16
2014.0,KY,Full-Service Providers,10.16,9.44,5.68,0.0,NA,8.15
2014.0,LA,Full-Service Providers,9.57,9.1,6.05,9.27,NA,8.09
2014.0,MA,Full-Service Providers,17.08,15.27,12.79,20.11,NA,16.01
2014.0,MD,Full-Service Providers,13.28,12.19,9.65,0.0,NA,12.91
2014.0,ME,Full-Service Providers,14.27,12.08,10.43,0.0,NA,12.86
2014.0,MI,Full-Service Providers,14.46,11.27,8.14,9.43,NA,11.58
2014.0,MN,Full-Service Providers,12.01,9.85,6.72,9.79,NA,9.52
2014.0,MO,Full-Service Providers,10.64,8.9,6.36,7.81,NA,9.11
2014.0,MS,Full-Service Providers,11.32,10.76,6.6,0.0,NA,9.6
2014.0,MT,Full-Service Providers,10.18,9.74,7.15,0.0,NA,9.54
2014.0,NC,Full-Service Providers,11.1,8.75,6.5,7.84,NA,9.33
2014.0,ND,Full-Service Providers,9.15,8.79,7.62,0.0,NA,8.41
2014.0,NE,Full-Service Providers,10.4,8.73,7.47,0.0,NA,8.84
2014.0,NH,Full-Service Providers,17.93,17.05,19.8,0.0,NA,17.76
2014.0,NJ,Full-Service Providers,15.37,13.3,9.18,0.0,NA,14.45
2014.0,NM,Full-Service Providers,12.28,10.27,6.61,0.0,NA,9.65
2014.0,NV,Full-Service Providers,12.93,9.75,7.37,9.25,NA,9.99
2014.0,NY,Full-Service Providers,19.52,18.22,7.4,15.61,NA,18.45
2014.0,OH,Full-Service Providers,12.87,11.64,7.36,12.49,NA,11.25
2014.0,OK,Full-Service Providers,10.03,8.09,5.85,0.0,NA,8.18
2014.0,OR,Full-Service Providers,10.47,8.8,5.93,9.21,NA,8.76
2014.0,PA,Full-Service Providers,12.83,11.24,9.25,0.0,NA,12.26
2014.0,RI,Full-Service Providers,17.1,15.52,14.86,0.0,NA,16.38
2014.0,SC,Full-Service Providers,12.45,10.28,6.29,0.0,NA,9.67
2014.0,SD,Full-Service Providers,10.47,8.89,6.99,0.0,NA,9.05
2014.0,TN,Full-Service Providers,10.32,10.38,6.4,8.57,NA,9.4
2014.0,TX,Full-Service Providers,11.86,8.16,6.16,5.17,NA,8.94
2014.0,UT,Full-Service Providers,10.65,8.53,6.08,10.34,NA,8.35
2014.0,VA,Full-Service Providers,11.1,8.15,6.89,8.24,NA,9.17
2014.0,VT,Full-Service Providers,17.47,14.56,10.23,0.0,NA,14.57
2014.0,WA,Full-Service Providers,8.67,7.97,4.32,8.48,NA,7.19
2014.0,WI,Full-Service Providers,13.67,10.77,7.52,0.0,NA,10.57
2014.0,WV,Full-Service Providers,9.34,7.99,5.87,0.0,NA,7.65
2014.0,WY,Full-Service Providers,10.5,8.88,6.61,0.0,NA,7.76
2014.0,US,Full-Service Providers,12.34,10.51,7.02,10.49,NA,10.37
2014.0,CA,Restructured Retail Service Providers,17.06,12.78,10.41,6.52,NA,11.89
2014.0,CT,Restructured Retail Service Providers,21.64,15.61,13.37,12.36,NA,17.03
2014.0,DC,Restructured Retail Service Providers,14.02,12.19,8.41,8.8,NA,12.01
2014.0,DE,Restructured Retail Service Providers,15.1,9.81,7.83,0.0,NA,9.49
2014.0,IL,Restructured Retail Service Providers,11.96,8.92,6.83,6.85,NA,8.89
2014.0,MA,Restructured Retail Service Providers,19.02,14.34,12.71,8.76,NA,14.57
2014.0,MD,Restructured Retail Service Providers,14.75,10.79,8.91,8.5,NA,11.36
2014.0,ME,Restructured Retail Service Providers,15.29,12.71,8.93,0.0,NA,12.65
2014.0,MI,Restructured Retail Service Providers,14.07,7.62,6.09,0.0,NA,6.64
2014.0,MT,Restructured Retail Service Providers,10.0,6.03,4.32,0.0,NA,4.4
2014.0,NH,Restructured Retail Service Providers,15.83,12.28,10.19,0.0,NA,12.22
2014.0,NJ,Restructured Retail Service Providers,17.86,13.08,11.95,10.43,NA,13.46
2014.0,NV,Restructured Retail Service Providers,0.0,7.19,4.26,0.0,NA,5.65
2014.0,NY,Restructured Retail Service Providers,22.28,15.03,6.4,13.55,NA,14.27
2014.0,OH,Restructured Retail Service Providers,12.03,9.28,6.56,8.41,NA,8.89
2014.0,OR,Restructured Retail Service Providers,0.0,7.74,6.34,0.0,NA,6.86
2014.0,PA,Restructured Retail Service Providers,14.11,9.25,7.3,7.65,NA,9.36
2014.0,RI,Restructured Retail Service Providers,18.28,13.51,11.97,14.89,NA,13.5
2014.0,VA,Restructured Retail Service Providers,0.0,8.21,8.15,0.0,NA,8.2
2014.0,WA,Restructured Retail Service Providers,0.0,0.0,4.42,0.0,NA,4.42
2014.0,US,Restructured Retail Service Providers,14.7,11.69,7.48,10.44,NA,10.87
2014.0,CA,Energy-Only Providers,7.94,6.49,6.11,5.39,NA,6.37
2014.0,CT,Energy-Only Providers,11.79,8.52,8.11,8.25,NA,9.42
2014.0,DC,Energy-Only Providers,10.06,8.06,7.04,5.71,NA,8.02
2014.0,DE,Energy-Only Providers,10.12,7.65,7.05,0.0,NA,7.62
2014.0,IL,Energy-Only Providers,6.77,6.57,5.72,5.57,NA,6.29
2014.0,MA,Energy-Only Providers,10.71,8.4,7.9,7.9,NA,8.6
2014.0,MD,Energy-Only Providers,10.15,7.76,7.04,7.03,NA,8.16
2014.0,ME,Energy-Only Providers,7.41,7.67,6.69,0.0,NA,7.29
2014.0,MI,Energy-Only Providers,7.26,5.54,5.39,0.0,NA,5.44
2014.0,MT,Energy-Only Providers,4.29,3.72,3.81,0.0,NA,3.8
2014.0,NH,Energy-Only Providers,9.6,8.05,7.19,0.0,NA,8.04
2014.0,NJ,Energy-Only Providers,13.06,8.71,8.19,7.6,NA,9.15
2014.0,NV,Energy-Only Providers,0.0,6.88,4.13,0.0,NA,5.43
2014.0,NY,Energy-Only Providers,12.02,8.39,4.68,8.43,NA,8.15
2014.0,OH,Energy-Only Providers,6.51,5.65,5.1,6.57,NA,5.65
2014.0,OR,Energy-Only Providers,0.0,4.74,4.62,0.0,NA,4.66
2014.0,PA,Energy-Only Providers,9.13,7.32,6.53,6.37,NA,7.32
2014.0,RI,Energy-Only Providers,10.39,7.9,7.56,7.79,NA,8.0
2014.0,VA,Energy-Only Providers,0.0,7.42,7.62,0.0,NA,7.46
2014.0,WA,Energy-Only Providers,0.0,0.0,3.97,0.0,NA,3.97
2014.0,US,Energy-Only Providers,8.59,7.43,5.9,7.31,NA,7.15
2014.0,CA,Delivery-Only Service,9.12,6.29,4.3,1.13,NA,5.52
2014.0,CT,Delivery-Only Service,9.85,7.09,5.26,4.11,NA,7.61
2014.0,DC,Delivery-Only Service,3.96,4.13,1.37,3.09,NA,4.0
2014.0,DE,Delivery-Only Service,4.98,2.16,0.78,0.0,NA,1.87
2014.0,IL,Delivery-Only Service,5.19,2.35,1.1,1.28,NA,2.6
2014.0,MA,Delivery-Only Service,8.31,5.94,4.81,0.85,NA,5.97
2014.0,MD,Delivery-Only Service,4.6,3.03,1.87,1.47,NA,3.2
2014.0,ME,Delivery-Only Service,7.88,5.04,2.24,0.0,NA,5.35
2014.0,MI,Delivery-Only Service,6.82,2.08,0.7,0.0,NA,1.19
2014.0,MT,Delivery-Only Service,5.71,2.31,0.51,0.0,NA,0.6
2014.0,NH,Delivery-Only Service,6.23,4.24,3.0,0.0,NA,4.18
2014.0,NJ,Delivery-Only Service,4.8,4.37,3.77,2.83,NA,4.31
2014.0,NV,Delivery-Only Service,0.0,0.3,0.14,0.0,NA,0.22
2014.0,NY,Delivery-Only Service,10.25,6.64,1.71,5.12,NA,6.12
2014.0,OH,Delivery-Only Service,5.53,3.63,1.46,1.84,NA,3.25
2014.0,OR,Delivery-Only Service,0.0,3.0,1.72,0.0,NA,2.2
2014.0,PA,Delivery-Only Service,4.99,1.94,0.77,1.28,NA,2.03
2014.0,RI,Delivery-Only Service,7.89,5.61,4.41,7.1,NA,5.5
2014.0,VA,Delivery-Only Service,0.0,0.79,0.53,0.0,NA,0.74
2014.0,WA,Delivery-Only Service,0.0,0.0,0.45,0.0,NA,0.45
2014.0,US,Delivery-Only Service,6.11,4.26,1.58,3.12,NA,3.72
2013.0,AK,Total Electric Industry,18.12,15.58,15.83,0.0,NA,16.49
2013.0,AL,Total Electric Industry,11.26,10.51,5.95,0.0,NA,9.02
2013.0,AR,Total Electric Industry,9.59,8.05,6.04,11.58,NA,7.93
2013.0,AZ,Total Electric Industry,11.71,9.85,6.66,0.0,NA,10.14
2013.0,CA,Total Electric Industry,16.23,14.2,11.44,8.54,NA,14.3
2013.0,CO,Total Electric Industry,11.93,9.86,7.34,10.55,NA,9.88
2013.0,CT,Total Electric Industry,17.55,14.63,12.61,10.31,NA,15.66
2013.0,DC,Total Electric Industry,12.57,11.94,5.54,9.52,NA,11.85
2013.0,DE,Total Electric Industry,12.95,10.2,8.43,0.0,NA,10.9
2013.0,FL,Total Electric Industry,11.27,9.39,7.61,8.69,NA,10.22
2013.0,GA,Total Electric Industry,11.46,9.99,6.27,8.03,NA,9.69
2013.0,HI,Total Electric Industry,36.98,34.05,29.87,0.0,NA,33.26
2013.0,IA,Total Electric Industry,11.04,8.44,5.62,0.0,NA,8.07
2013.0,ID,Total Electric Industry,9.32,7.37,6.09,0.0,NA,7.57
2013.0,IL,Total Electric Industry,10.63,8.14,5.94,5.34,NA,8.26
2013.0,IN,Total Electric Industry,10.99,9.6,6.7,9.87,NA,8.73
2013.0,KS,Total Electric Industry,11.64,9.68,7.39,0.0,NA,9.72
2013.0,KY,Total Electric Industry,9.79,8.56,5.66,0.0,NA,7.69
2013.0,LA,Total Electric Industry,9.43,8.96,5.92,9.45,NA,8.04
2013.0,MA,Total Electric Industry,15.83,14.23,13.18,13.06,NA,14.51
2013.0,MD,Total Electric Industry,13.25,10.68,8.36,8.47,NA,11.66
2013.0,ME,Total Electric Industry,14.35,11.74,8.34,0.0,NA,11.86
2013.0,MI,Total Electric Industry,14.59,11.06,7.72,8.77,NA,11.21
2013.0,MN,Total Electric Industry,11.81,9.42,6.98,9.79,NA,9.41
2013.0,MO,Total Electric Industry,10.6,8.8,6.29,7.81,NA,9.04
2013.0,MS,Total Electric Industry,10.78,10.1,6.34,0.0,NA,9.11
2013.0,MT,Total Electric Industry,10.33,9.54,5.43,0.0,NA,8.58
2013.0,NC,Total Electric Industry,10.97,8.76,6.45,7.94,NA,9.24
2013.0,ND,Total Electric Industry,9.12,8.39,7.13,0.0,NA,8.2
2013.0,NE,Total Electric Industry,10.31,8.6,7.44,0.0,NA,8.74
2013.0,NH,Total Electric Industry,16.33,13.52,11.4,0.0,NA,14.3
2013.0,NJ,Total Electric Industry,15.73,12.77,10.8,10.6,NA,13.7
2013.0,NM,Total Electric Industry,11.68,9.74,6.36,0.0,NA,9.25
2013.0,NV,Total Electric Industry,11.89,9.01,6.52,8.47,NA,9.03
2013.0,NY,Total Electric Industry,18.79,15.35,6.58,13.65,NA,15.44
2013.0,OH,Total Electric Industry,12.01,9.35,6.22,6.62,NA,9.2
2013.0,OK,Total Electric Industry,9.67,7.77,5.49,0.0,NA,7.86
2013.0,OR,Total Electric Industry,9.9,8.68,5.8,8.88,NA,8.44
2013.0,PA,Total Electric Industry,12.79,9.25,6.97,7.81,NA,9.81
2013.0,RI,Total Electric Industry,15.2,12.92,11.82,13.03,NA,13.72
2013.0,SC,Total Electric Industry,11.99,9.88,6.01,0.0,NA,9.24
2013.0,SD,Total Electric Industry,10.26,8.51,6.97,0.0,NA,8.86
2013.0,TN,Total Electric Industry,9.98,10.0,6.29,11.68,NA,9.13
2013.0,TX,Total Electric Industry,11.35,8.02,5.81,10.19,NA,8.66
2013.0,UT,Total Electric Industry,10.37,8.32,5.87,10.68,NA,8.15
2013.0,VA,Total Electric Industry,10.84,8.0,6.63,8.17,NA,8.96
2013.0,VT,Total Electric Industry,17.14,14.66,10.84,0.0,NA,14.61
2013.0,WA,Total Electric Industry,8.7,7.78,4.23,8.04,NA,7.09
2013.0,WI,Total Electric Industry,13.55,10.75,7.4,0.0,NA,10.51
2013.0,WV,Total Electric Industry,9.52,8.17,6.2,8.68,NA,7.91
2013.0,WY,Total Electric Industry,10.16,8.57,6.42,0.0,NA,7.55
2013.0,US,Total Electric Industry,12.13,10.26,6.89,10.55,NA,10.07
2013.0,AK,Full-Service Providers,18.12,15.58,15.83,0.0,NA,16.49
2013.0,AL,Full-Service Providers,11.26,10.51,5.95,0.0,NA,9.02
2013.0,AR,Full-Service Providers,9.59,8.05,6.04,11.58,NA,7.93
2013.0,AZ,Full-Service Providers,11.71,9.85,6.66,0.0,NA,10.14
2013.0,CA,Full-Service Providers,16.21,14.54,11.85,9.89,NA,14.65
2013.0,CO,Full-Service Providers,11.93,9.86,7.34,10.55,NA,9.88
2013.0,CT,Full-Service Providers,16.62,14.09,10.59,0.0,NA,15.44
2013.0,DC,Full-Service Providers,12.54,12.44,0.0,0.0,NA,12.5
2013.0,DE,Full-Service Providers,12.93,12.05,10.15,0.0,NA,12.37
2013.0,FL,Full-Service Providers,11.27,9.39,7.61,8.69,NA,10.22
2013.0,GA,Full-Service Providers,11.46,9.99,6.27,8.03,NA,9.69
2013.0,HI,Full-Service Providers,36.98,34.05,29.87,0.0,NA,33.26
2013.0,IA,Full-Service Providers,11.04,8.44,5.62,0.0,NA,8.07
2013.0,ID,Full-Service Providers,9.32,7.37,6.09,0.0,NA,7.57
2013.0,IL,Full-Service Providers,11.04,9.22,6.24,6.05,NA,9.67
2013.0,IN,Full-Service Providers,10.99,9.6,6.7,9.87,NA,8.73
2013.0,KS,Full-Service Providers,11.64,9.68,7.39,0.0,NA,9.72
2013.0,KY,Full-Service Providers,9.79,8.56,5.66,0.0,NA,7.69
2013.0,LA,Full-Service Providers,9.43,8.96,5.92,9.45,NA,8.04
2013.0,MA,Full-Service Providers,15.64,14.72,12.75,0.0,NA,14.97
2013.0,MD,Full-Service Providers,13.19,11.63,8.92,0.0,NA,12.7
2013.0,ME,Full-Service Providers,13.78,11.76,10.01,0.0,NA,12.42
2013.0,MI,Full-Service Providers,14.59,11.51,8.12,8.77,NA,11.71
2013.0,MN,Full-Service Providers,11.81,9.42,6.98,9.79,NA,9.41
2013.0,MO,Full-Service Providers,10.6,8.8,6.29,7.81,NA,9.04
2013.0,MS,Full-Service Providers,10.78,10.1,6.34,0.0,NA,9.11
2013.0,MT,Full-Service Providers,10.33,9.64,7.22,0.0,NA,9.58
2013.0,NC,Full-Service Providers,10.97,8.76,6.45,7.94,NA,9.24
2013.0,ND,Full-Service Providers,9.12,8.39,7.13,0.0,NA,8.2
2013.0,NE,Full-Service Providers,10.31,8.6,7.44,0.0,NA,8.74
2013.0,NH,Full-Service Providers,16.83,16.24,18.8,0.0,NA,16.75
2013.0,NJ,Full-Service Providers,15.6,13.37,9.01,0.0,NA,14.64
2013.0,NM,Full-Service Providers,11.68,9.74,6.36,0.0,NA,9.25
2013.0,NV,Full-Service Providers,11.89,9.27,6.77,8.47,NA,9.28
2013.0,NY,Full-Service Providers,18.46,17.24,7.05,14.4,NA,17.4
2013.0,OH,Full-Service Providers,12.44,11.35,6.68,8.92,NA,10.7
2013.0,OK,Full-Service Providers,9.67,7.77,5.49,0.0,NA,7.86
2013.0,OR,Full-Service Providers,9.9,8.72,5.76,8.88,NA,8.51
2013.0,PA,Full-Service Providers,12.64,10.87,7.95,0.0,NA,11.97
2013.0,RI,Full-Service Providers,15.17,13.34,12.49,0.0,NA,14.4
2013.0,SC,Full-Service Providers,11.99,9.88,6.01,0.0,NA,9.24
2013.0,SD,Full-Service Providers,10.26,8.51,6.97,0.0,NA,8.86
2013.0,TN,Full-Service Providers,9.98,10.0,6.29,11.68,NA,9.13
2013.0,TX,Full-Service Providers,11.35,8.02,5.81,10.19,NA,8.66
2013.0,UT,Full-Service Providers,10.37,8.32,5.87,10.68,NA,8.15
2013.0,VA,Full-Service Providers,10.84,8.0,6.63,8.17,NA,8.96
2013.0,VT,Full-Service Providers,17.14,14.66,10.84,0.0,NA,14.61
2013.0,WA,Full-Service Providers,8.7,7.79,4.21,8.04,NA,7.15
2013.0,WI,Full-Service Providers,13.55,10.74,7.4,0.0,NA,10.51
2013.0,WV,Full-Service Providers,9.52,8.17,6.2,8.68,NA,7.91
2013.0,WY,Full-Service Providers,10.16,8.57,6.42,0.0,NA,7.55
2013.0,US,Full-Service Providers,12.02,10.09,6.81,10.4,NA,10.05
2013.0,CA,Restructured Retail Service Providers,18.34,11.81,9.62,6.73,NA,11.04
2013.0,CT,Restructured Retail Service Providers,18.68,14.8,13.34,10.31,NA,15.78
2013.0,DC,Restructured Retail Service Providers,12.73,11.87,5.54,9.52,NA,11.64
2013.0,DE,Restructured Retail Service Providers,13.35,9.03,7.6,0.0,NA,8.69
2013.0,IL,Restructured Retail Service Providers,10.25,7.67,5.89,5.32,NA,7.62
2013.0,MA,Restructured Retail Service Providers,16.92,13.86,13.33,13.06,NA,13.97
2013.0,MD,Restructured Retail Service Providers,13.46,10.37,8.26,8.47,NA,10.75
2013.0,ME,Restructured Retail Service Providers,14.36,11.74,8.32,0.0,NA,11.85
2013.0,MI,Restructured Retail Service Providers,14.8,7.46,5.92,0.0,NA,6.57
2013.0,MT,Restructured Retail Service Providers,10.43,5.93,4.26,0.0,NA,4.34
2013.0,NH,Restructured Retail Service Providers,13.77,11.69,10.03,0.0,NA,11.45
2013.0,NJ,Restructured Retail Service Providers,16.34,12.53,11.24,10.6,NA,12.81
2013.0,NV,Restructured Retail Service Providers,0.0,6.48,3.84,0.0,NA,4.94
2013.0,NY,Restructured Retail Service Providers,20.12,14.37,6.47,13.54,NA,13.64
2013.0,OH,Restructured Retail Service Providers,11.4,8.69,6.03,6.4,NA,8.28
2013.0,OR,Restructured Retail Service Providers,0.0,7.78,6.1,0.0,NA,6.69
2013.0,PA,Restructured Retail Service Providers,13.04,8.76,6.9,7.81,NA,8.76
2013.0,RI,Restructured Retail Service Providers,16.31,12.51,11.58,13.03,NA,12.39
2013.0,WA,Restructured Retail Service Providers,0.0,4.73,4.49,0.0,NA,4.5
2013.0,US,Restructured Retail Service Providers,13.46,10.96,7.26,10.6,NA,10.18
2013.0,CA,Energy-Only Providers,7.39,6.15,5.8,5.81,NA,6.04
2013.0,CT,Energy-Only Providers,9.28,7.77,7.96,6.41,NA,8.26
2013.0,DC,Energy-Only Providers,9.16,8.01,4.19,6.52,NA,7.89
2013.0,DE,Energy-Only Providers,8.98,7.19,7.0,0.0,NA,7.2
2013.0,IL,Energy-Only Providers,5.63,5.57,4.85,4.03,NA,5.3
2013.0,MA,Energy-Only Providers,8.66,7.55,7.59,12.2,NA,7.77
2013.0,MD,Energy-Only Providers,9.25,7.5,6.49,7.07,NA,7.74
2013.0,ME,Energy-Only Providers,6.76,6.8,6.04,0.0,NA,6.58
2013.0,MI,Energy-Only Providers,7.86,5.41,5.04,0.0,NA,5.19
2013.0,MT,Energy-Only Providers,6.09,3.57,3.77,0.0,NA,3.76
2013.0,NH,Energy-Only Providers,7.53,7.34,6.89,0.0,NA,7.22
2013.0,NJ,Energy-Only Providers,11.24,8.04,7.31,7.42,NA,8.34
2013.0,NV,Energy-Only Providers,0.0,6.15,3.68,0.0,NA,4.71
2013.0,NY,Energy-Only Providers,9.67,7.61,4.32,8.41,NA,7.3
2013.0,OH,Energy-Only Providers,6.08,5.22,4.71,4.71,NA,5.22
2013.0,OR,Energy-Only Providers,0.0,4.45,4.18,0.0,NA,4.27
2013.0,PA,Energy-Only Providers,8.11,6.87,6.14,6.81,NA,6.78
2013.0,RI,Energy-Only Providers,8.7,7.11,7.38,6.16,NA,7.22
2013.0,WA,Energy-Only Providers,0.0,4.07,4.08,0.0,NA,4.08
2013.0,US,Energy-Only Providers,7.5,6.82,5.51,7.49,NA,6.51
2013.0,CA,Delivery-Only Service,10.95,5.66,3.82,0.93,NA,5.0
2013.0,CT,Delivery-Only Service,9.4,7.03,5.37,3.89,NA,7.52
2013.0,DC,Delivery-Only Service,3.57,3.86,1.35,3.0,NA,3.74
2013.0,DE,Delivery-Only Service,4.37,1.84,0.6,0.0,NA,1.48
2013.0,IL,Delivery-Only Service,4.63,2.1,1.04,1.29,NA,2.32
2013.0,MA,Delivery-Only Service,8.26,6.31,5.75,0.86,NA,6.2
2013.0,MD,Delivery-Only Service,4.22,2.88,1.78,1.39,NA,3.01
2013.0,ME,Delivery-Only Service,7.6,4.94,2.29,0.0,NA,5.27
2013.0,MI,Delivery-Only Service,6.94,2.06,0.88,0.0,NA,1.38
2013.0,MT,Delivery-Only Service,4.35,2.36,0.49,0.0,NA,0.58
2013.0,NH,Delivery-Only Service,6.24,4.36,3.14,0.0,NA,4.23
2013.0,NJ,Delivery-Only Service,5.1,4.49,3.93,3.18,NA,4.47
2013.0,NV,Delivery-Only Service,0.0,0.33,0.16,0.0,NA,0.23
2013.0,NY,Delivery-Only Service,10.45,6.76,2.15,5.14,NA,6.34
2013.0,OH,Delivery-Only Service,5.33,3.47,1.32,1.69,NA,3.06
2013.0,OR,Delivery-Only Service,0.0,3.33,1.92,0.0,NA,2.42
2013.0,PA,Delivery-Only Service,4.93,1.89,0.76,1.0,NA,1.98
2013.0,RI,Delivery-Only Service,7.6,5.4,4.19,6.87,NA,5.18
2013.0,WA,Delivery-Only Service,0.0,0.66,0.41,0.0,NA,0.42
2013.0,US,Delivery-Only Service,5.97,4.14,1.76,3.11,NA,3.67
2012.0,AK,Total Electric Industry,17.88,14.93,16.82,0.0,NA,16.33
2012.0,AL,Total Electric Industry,11.4,10.63,6.22,0.0,NA,9.18
2012.0,AR,Total Electric Industry,9.3,7.71,5.77,11.23,NA,7.62
2012.0,AZ,Total Electric Industry,11.29,9.53,6.53,0.0,NA,9.81
2012.0,CA,Total Electric Industry,15.34,13.41,10.49,7.17,NA,13.53
2012.0,CO,Total Electric Industry,11.46,9.39,6.95,9.69,NA,9.39
2012.0,CT,Total Electric Industry,17.34,14.65,12.67,9.69,NA,15.54
2012.0,DC,Total Electric Industry,12.28,12.02,5.46,9.01,NA,11.85
2012.0,DE,Total Electric Industry,13.58,10.13,8.36,0.0,NA,11.06
2012.0,FL,Total Electric Industry,11.42,9.66,8.04,8.45,NA,10.44
