YEAR,STATE,TYPE OF PRODUCER,ENERGY SOURCE,GENERATION (Megawatthours)
1999.0,NE,"Electric Generators, Electric Utilities",Coal,17794136.0
1999.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1719030.0
1999.0,NE,"Electric Generators, Electric Utilities",Natural Gas,347902.0
1999.0,NE,"Electric Generators, Electric Utilities",Nuclear,10091092.0
1999.0,NE,"Electric Generators, Electric Utilities",Other Biomass,0.0
1999.0,NE,"Electric Generators, Electric Utilities",Petroleum,28807.0
1999.0,NE,"Electric Generators, Electric Utilities",Wind,0.0
1999.0,NE,"Combined Heat and Power, Industrial Power",Total,47762.0
1999.0,NE,"Combined Heat and Power, Industrial Power",Coal,43040.0
1999.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,4722.0
1999.0,NE,"Combined Heat and Power, Electric Power",Total,8733.0
1999.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,1742.0
1999.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,6991.0
1999.0,NE,"Combined Heat and Power, Commercial Power",Total,18289.0
1999.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,8262.0
1999.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,9211.0
1999.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,816.0
2000.0,NE,Total Electric Power Industry,Total,29109863.0
2000.0,NE,Total Electric Power Industry,Coal,18457933.0
2000.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1500724.0
2000.0,NE,Total Electric Power Industry,Natural Gas,451354.0
2000.0,NE,Total Electric Power Industry,Nuclear,8628679.0
2000.0,NE,Total Electric Power Industry,Other Biomass,16514.0
2000.0,NE,Total Electric Power Industry,Petroleum,54659.0
2000.0,NE,Total Electric Power Industry,Wind,0.0
2000.0,NE,"Electric Generators, Electric Utilities",Total,29045739.0
2000.0,NE,"Electric Generators, Electric Utilities",Coal,18424799.0
2000.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1500724.0
2000.0,NE,"Electric Generators, Electric Utilities",Natural Gas,437822.0
2000.0,NE,"Electric Generators, Electric Utilities",Nuclear,8628679.0
2000.0,NE,"Electric Generators, Electric Utilities",Other Biomass,0.0
2000.0,NE,"Electric Generators, Electric Utilities",Petroleum,53715.0
2000.0,NE,"Electric Generators, Electric Utilities",Wind,0.0
2000.0,NE,"Combined Heat and Power, Industrial Power",Total,38006.0
2000.0,NE,"Combined Heat and Power, Industrial Power",Coal,33134.0
2000.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,4872.0
2000.0,NE,"Combined Heat and Power, Electric Power",Total,7469.0
2000.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,863.0
2000.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,6606.0
2000.0,NE,"Combined Heat and Power, Commercial Power",Total,18649.0
2000.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,7797.0
2000.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,9908.0
2000.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,944.0
2001.0,NE,Total Electric Power Industry,Total,30485212.0
2001.0,NE,Total Electric Power Industry,Coal,20238706.0
2001.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1124122.0
2001.0,NE,Total Electric Power Industry,Natural Gas,348731.0
2001.0,NE,Total Electric Power Industry,Nuclear,8726113.0
2001.0,NE,Total Electric Power Industry,Other,58.0
2001.0,NE,Total Electric Power Industry,Other Biomass,16663.0
2001.0,NE,Total Electric Power Industry,Petroleum,28189.0
2001.0,NE,Total Electric Power Industry,Wind,2630.0
2001.0,NE,"Electric Generators, Electric Utilities",Total,30411669.0
2001.0,NE,"Electric Generators, Electric Utilities",Coal,20193542.0
2001.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1124122.0
2001.0,NE,"Electric Generators, Electric Utilities",Natural Gas,340050.0
2001.0,NE,"Electric Generators, Electric Utilities",Nuclear,8726113.0
2001.0,NE,"Electric Generators, Electric Utilities",Other,58.0
2001.0,NE,"Electric Generators, Electric Utilities",Other Biomass,0.0
2001.0,NE,"Electric Generators, Electric Utilities",Petroleum,25154.0
2001.0,NE,"Electric Generators, Electric Utilities",Wind,2630.0
2001.0,NE,"Combined Heat and Power, Industrial Power",Total,48254.0
2001.0,NE,"Combined Heat and Power, Industrial Power",Coal,45164.0
2001.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,3090.0
2001.0,NE,"Combined Heat and Power, Electric Power",Total,8289.0
2001.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,8289.0
2001.0,NE,"Combined Heat and Power, Commercial Power",Total,17000.0
2001.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,5591.0
2001.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,8374.0
2001.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,3035.0
2002.0,NE,Total Electric Power Industry,Total,31618494.0
2002.0,NE,Total Electric Power Industry,Coal,19943907.0
2002.0,NE,Total Electric Power Industry,Hydroelectric Conventional,1097486.0
2002.0,NE,Total Electric Power Industry,Natural Gas,413138.0
2002.0,NE,Total Electric Power Industry,Nuclear,10122242.0
2002.0,NE,Total Electric Power Industry,Other,0.0
2002.0,NE,Total Electric Power Industry,Other Biomass,12993.0
2002.0,NE,Total Electric Power Industry,Other Gases,101.0
2002.0,NE,Total Electric Power Industry,Petroleum,20549.0
2002.0,NE,Total Electric Power Industry,Wind,8078.0
2002.0,NE,"Electric Generators, Electric Utilities",Total,31550226.0
2002.0,NE,"Electric Generators, Electric Utilities",Coal,19899803.0
2002.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,1097486.0
2002.0,NE,"Electric Generators, Electric Utilities",Natural Gas,404106.0
2002.0,NE,"Electric Generators, Electric Utilities",Nuclear,10122242.0
2002.0,NE,"Electric Generators, Electric Utilities",Other,0.0
2002.0,NE,"Electric Generators, Electric Utilities",Other Biomass,0.0
2002.0,NE,"Electric Generators, Electric Utilities",Other Gases,101.0
2002.0,NE,"Electric Generators, Electric Utilities",Petroleum,18410.0
2002.0,NE,"Electric Generators, Electric Utilities",Wind,8078.0
2002.0,NE,"Combined Heat and Power, Industrial Power",Total,44104.0
2002.0,NE,"Combined Heat and Power, Industrial Power",Coal,44104.0
2002.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,0.0
2002.0,NE,"Combined Heat and Power, Electric Power",Total,7500.0
2002.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,1045.0
2002.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,6455.0
2002.0,NE,"Combined Heat and Power, Commercial Power",Total,16664.0
2002.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,7987.0
2002.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,6538.0
2002.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,2139.0
2003.0,NE,Total Electric Power Industry,Total,30455984.0
2003.0,NE,Total Electric Power Industry,Coal,20954173.0
2003.0,NE,Total Electric Power Industry,Hydroelectric Conventional,980110.0
2003.0,NE,Total Electric Power Industry,Natural Gas,381078.0
2003.0,NE,Total Electric Power Industry,Nuclear,7996902.0
2003.0,NE,Total Electric Power Industry,Other,0.0
2003.0,NE,Total Electric Power Industry,Other Biomass,56442.0
2003.0,NE,Total Electric Power Industry,Other Gases,206.0
2003.0,NE,Total Electric Power Industry,Petroleum,48852.0
2003.0,NE,Total Electric Power Industry,Wind,38221.0
2003.0,NE,"Electric Generators, Electric Utilities",Total,30367879.0
2003.0,NE,"Electric Generators, Electric Utilities",Coal,20907970.0
2003.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,980110.0
2003.0,NE,"Electric Generators, Electric Utilities",Natural Gas,369409.0
2003.0,NE,"Electric Generators, Electric Utilities",Nuclear,7996902.0
2003.0,NE,"Electric Generators, Electric Utilities",Other,0.0
2003.0,NE,"Electric Generators, Electric Utilities",Other Biomass,27090.0
2003.0,NE,"Electric Generators, Electric Utilities",Other Gases,206.0
2003.0,NE,"Electric Generators, Electric Utilities",Petroleum,47971.0
2003.0,NE,"Electric Generators, Electric Utilities",Wind,38221.0
2003.0,NE,"Combined Heat and Power, Industrial Power",Total,46203.0
2003.0,NE,"Combined Heat and Power, Industrial Power",Coal,46203.0
2003.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,0.0
2003.0,NE,"Combined Heat and Power, Electric Power",Total,21444.0
2003.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,2538.0
2003.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,18906.0
2003.0,NE,"Combined Heat and Power, Commercial Power",Total,20458.0
2003.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,9131.0
2003.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,10446.0
2003.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,881.0
2004.0,NE,Total Electric Power Industry,Total,32008709.0
2004.0,NE,Total Electric Power Industry,Coal,20457085.0
2004.0,NE,Total Electric Power Industry,Hydroelectric Conventional,913021.0
2004.0,NE,Total Electric Power Industry,Natural Gas,297390.0
2004.0,NE,Total Electric Power Industry,Nuclear,10241254.0
2004.0,NE,Total Electric Power Industry,Other,0.0
2004.0,NE,Total Electric Power Industry,Other Biomass,39518.0
2004.0,NE,Total Electric Power Industry,Other Gases,142.0
2004.0,NE,Total Electric Power Industry,Petroleum,21868.0
2004.0,NE,Total Electric Power Industry,Wind,38431.0
2004.0,NE,"Electric Generators, Electric Utilities",Total,31944127.0
2004.0,NE,"Electric Generators, Electric Utilities",Coal,20414960.0
2004.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,913021.0
2004.0,NE,"Electric Generators, Electric Utilities",Natural Gas,288576.0
2004.0,NE,"Electric Generators, Electric Utilities",Nuclear,10241254.0
2004.0,NE,"Electric Generators, Electric Utilities",Other,0.0
2004.0,NE,"Electric Generators, Electric Utilities",Other Biomass,26739.0
2004.0,NE,"Electric Generators, Electric Utilities",Other Gases,142.0
2004.0,NE,"Electric Generators, Electric Utilities",Petroleum,21004.0
2004.0,NE,"Electric Generators, Electric Utilities",Wind,38431.0
2004.0,NE,"Combined Heat and Power, Industrial Power",Total,42125.0
2004.0,NE,"Combined Heat and Power, Industrial Power",Coal,42125.0
2004.0,NE,"Combined Heat and Power, Industrial Power",Natural Gas,0.0
2004.0,NE,"Combined Heat and Power, Electric Power",Total,6.0
2004.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,1.0
2004.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,5.0
2004.0,NE,"Combined Heat and Power, Commercial Power",Total,22451.0
2004.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,8813.0
2004.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,12774.0
2004.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,864.0
2005.0,NE,Total Electric Power Industry,Total,31464734.0
2005.0,NE,Total Electric Power Industry,Coal,20818171.0
2005.0,NE,Total Electric Power Industry,Hydroelectric Conventional,871473.0
2005.0,NE,Total Electric Power Industry,Natural Gas,802983.0
2005.0,NE,Total Electric Power Industry,Nuclear,8801841.0
2005.0,NE,Total Electric Power Industry,Other Biomass,42646.0
2005.0,NE,Total Electric Power Industry,Other Gases,6.0
2005.0,NE,Total Electric Power Industry,Petroleum,31005.0
2005.0,NE,Total Electric Power Industry,Wind,96608.0
2005.0,NE,"Electric Generators, Electric Utilities",Total,31391643.0
2005.0,NE,"Electric Generators, Electric Utilities",Coal,20772590.0
2005.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,871473.0
2005.0,NE,"Electric Generators, Electric Utilities",Natural Gas,794533.0
2005.0,NE,"Electric Generators, Electric Utilities",Nuclear,8801841.0
2005.0,NE,"Electric Generators, Electric Utilities",Other Biomass,24566.0
2005.0,NE,"Electric Generators, Electric Utilities",Other Gases,6.0
2005.0,NE,"Electric Generators, Electric Utilities",Petroleum,30026.0
2005.0,NE,"Electric Generators, Electric Utilities",Wind,96608.0
2005.0,NE,"Combined Heat and Power, Industrial Power",Total,45581.0
2005.0,NE,"Combined Heat and Power, Industrial Power",Coal,45581.0
2005.0,NE,"Combined Heat and Power, Electric Power",Total,8291.0
2005.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,842.0
2005.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,7449.0
2005.0,NE,"Combined Heat and Power, Commercial Power",Total,19219.0
2005.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,7608.0
2005.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,10631.0
2005.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,980.0
2006.0,NE,Total Electric Power Industry,Total,31669969.0
2006.0,NE,Total Electric Power Industry,Coal,20682548.0
2006.0,NE,Total Electric Power Industry,Hydroelectric Conventional,893386.0
2006.0,NE,Total Electric Power Industry,Natural Gas,758801.0
2006.0,NE,Total Electric Power Industry,Nuclear,9002656.0
2006.0,NE,Total Electric Power Industry,Other Biomass,52014.0
2006.0,NE,Total Electric Power Industry,Other Gases,0.0
2006.0,NE,Total Electric Power Industry,Petroleum,19317.0
2006.0,NE,Total Electric Power Industry,Wind,261247.0
2006.0,NE,"Electric Generators, Electric Utilities",Total,31599046.0
2006.0,NE,"Electric Generators, Electric Utilities",Coal,20632855.0
2006.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,893386.0
2006.0,NE,"Electric Generators, Electric Utilities",Natural Gas,752584.0
2006.0,NE,"Electric Generators, Electric Utilities",Nuclear,9002656.0
2006.0,NE,"Electric Generators, Electric Utilities",Other Biomass,37404.0
2006.0,NE,"Electric Generators, Electric Utilities",Other Gases,0.0
2006.0,NE,"Electric Generators, Electric Utilities",Petroleum,18914.0
2006.0,NE,"Electric Generators, Electric Utilities",Wind,261247.0
2006.0,NE,"Combined Heat and Power, Industrial Power",Total,49693.0
2006.0,NE,"Combined Heat and Power, Industrial Power",Coal,49693.0
2006.0,NE,"Combined Heat and Power, Electric Power",Total,4485.0
2006.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,1348.0
2006.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,3138.0
2006.0,NE,"Combined Heat and Power, Commercial Power",Total,16744.0
2006.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,4869.0
2006.0,NE,"Combined Heat and Power, Commercial Power",Other Biomass,11472.0
2006.0,NE,"Combined Heat and Power, Commercial Power",Petroleum,403.0
2007.0,NE,Total Electric Power Industry,Total,32442699.0
2007.0,NE,Total Electric Power Industry,Coal,19629911.0
2007.0,NE,Total Electric Power Industry,Hydroelectric Conventional,347444.0
2007.0,NE,Total Electric Power Industry,Natural Gas,1110020.0
2007.0,NE,Total Electric Power Industry,Nuclear,11041532.0
2007.0,NE,Total Electric Power Industry,Other Biomass,61259.0
2007.0,NE,Total Electric Power Industry,Other Gases,0.0
2007.0,NE,Total Electric Power Industry,Petroleum,35767.0
2007.0,NE,Total Electric Power Industry,Wind,216765.0
2007.0,NE,"Electric Generators, Electric Utilities",Total,32403289.0
2007.0,NE,"Electric Generators, Electric Utilities",Coal,19611849.0
2007.0,NE,"Electric Generators, Electric Utilities",Hydroelectric Conventional,347444.0
2007.0,NE,"Electric Generators, Electric Utilities",Natural Gas,1103962.0
2007.0,NE,"Electric Generators, Electric Utilities",Nuclear,11041532.0
2007.0,NE,"Electric Generators, Electric Utilities",Other Biomass,46184.0
2007.0,NE,"Electric Generators, Electric Utilities",Other Gases,0.0
2007.0,NE,"Electric Generators, Electric Utilities",Petroleum,35552.0
2007.0,NE,"Electric Generators, Electric Utilities",Wind,216765.0
2007.0,NE,"Combined Heat and Power, Industrial Power",Total,18062.0
2007.0,NE,"Combined Heat and Power, Industrial Power",Coal,18062.0
2007.0,NE,"Combined Heat and Power, Electric Power",Total,4521.0
2007.0,NE,"Combined Heat and Power, Electric Power",Natural Gas,1684.0
2007.0,NE,"Combined Heat and Power, Electric Power",Other Biomass,2837.0
2007.0,NE,"Combined Heat and Power, Commercial Power",Total,16827.0
2007.0,NE,"Combined Heat and Power, Commercial Power",Natural Gas,4374.0
